Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United States,7958.72,7958.72,2094.4,748.0,2.8,10.64,5864.32,10.64
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United Kingdom,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Canada,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Mexico,32224.18,35005.6,9212.0,3290.0,2.8,10.64,23012.18,7.30857143
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Brazil,10268.4,12012.56,3161.2,1129.0,2.8,10.64,7107.2,4.128
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Japan,32314.65,35271.6,9282.0,3315.0,2.8,10.64,23032.65,7.29285714
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Korea,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,China,66278.36,72788.24,19154.8,6841.0,2.8,10.64,47123.56,7.6075
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Singapore,14410.41,16949.52,4460.4,1593.0,2.8,10.64,9950.01,5.0275
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Netherlands,58738.13,61594.96,16209.2,5789.0,2.8,10.64,42528.93,9.189
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Sweden,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Finland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Denmark,9331.94,10799.6,2842.0,1015.0,2.8,10.64,6489.94,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,France,53442.26,57626.24,15164.8,5416.0,2.8,10.64,38277.46,7.27214286
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Germany,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Belgium,3560.4,3670.8,966.0,345.0,2.8,10.64,2594.4,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Austria,28380,30058,7910.0,2825.0,2.8,10.64,20470.0,8.256
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Italy,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Spain,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Canada,34408.13,35803.6,9422.0,3365.0,2.8,10.64,24986.13,10.22833333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Mexico,28714.89,29877.12,7862.4,2808.0,2.8,10.64,20852.49,10.232
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Brazil,46289.46,47794.88,12577.6,4492.0,2.8,10.64,33711.86,10.309
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Japan,11438.82,11863.6,3122.0,1115.0,2.8,10.64,8316.82,10.265
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Korea,41541.19,45230.64,11902.8,4251.0,2.8,10.64,29638.39,8.42166667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,China,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Singapore,31213.5,32686.08,8601.6,3072.0,2.8,10.64,22611.9,10.1575
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Netherlands,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Sweden,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Finland,61168.11,64925.28,17085.6,6102.0,2.8,10.64,44082.51,9.189
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Denmark,3849.17,4011.28,1055.6,377.0,2.8,10.64,2793.57,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,France,10910.3,11320.96,2979.2,1064.0,2.8,10.64,7931.1,10.265
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Germany,14354.45,15151.36,3987.2,1424.0,2.8,10.64,10367.25,7.7125
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Belgium,17956.8,19024.32,5006.4,1788.0,2.8,10.64,12950.4,7.9384615400000005
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Austria,12414.96,12799.92,3368.4,1203.0,2.8,10.64,9046.56,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Italy,26431.37,27376.72,7204.4,2573.0,2.8,10.64,19226.97,10.276
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Spain,21908.67,22780.24,5994.8,2141.0,2.8,10.64,15913.87,10.2375
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Canada,5697.18,6256.32,1646.4,588.0,2.8,10.64,4050.78,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Mexico,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Brazil,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Japan,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Korea,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,China,54872.68,57541.12,15142.4,5408.0,2.8,10.64,39730.28,10.15
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Singapore,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Netherlands,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Sweden,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Finland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Denmark,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,France,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Germany,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Belgium,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Austria,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Italy,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Spain,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Canada,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Mexico,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Brazil,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Japan,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Korea,43249.56,45507.28,11975.6,4277.0,2.8,10.64,31273.96,8.50833333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,China,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Singapore,30742.31,32505.2,8554.0,3055.0,2.8,10.64,22188.31,8.168
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Netherlands,7361.41,9320.64,2452.8,876.0,2.8,10.64,4908.61,3.40333333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Sweden,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Finland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Denmark,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,France,15832.62,16449.44,4328.8,1546.0,2.8,10.64,11503.82,10.24666667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Germany,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Belgium,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Austria,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Italy,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Spain,14244.89,14747.04,3880.8,1386.0,2.8,10.64,10364.09,10.28333333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Canada,78873.89,83470.8,21966.0,7845.0,2.8,10.64,56907.89,9.00470588
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Mexico,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Brazil,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Japan,105116.13,112103.04,29500.8,10536.0,2.8,10.64,75615.33,8.22285714
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Korea,8433.46,9235.52,2430.4,868.0,2.8,10.64,6003.06,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,China,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Singapore,8402.83,8756.72,2304.4,823.0,2.8,10.64,6098.43,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Netherlands,13926.44,14512.96,3819.2,1364.0,2.8,10.64,10107.24,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Sweden,35922.91,37633.68,9903.6,3537.0,2.8,10.64,26019.31,9.10222222
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Finland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Denmark,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,France,5492.98,5724.32,1506.4,538.0,2.8,10.64,3986.58,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Germany,90981.09,97398.56,25631.2,9154.0,2.8,10.64,65349.89,7.748
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Belgium,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Austria,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Italy,36174.44,38186.96,10049.2,3589.0,2.8,10.64,26125.24,7.97777778
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Spain,5584.87,7352.24,1934.8,691.0,2.8,10.64,3650.07,3.40333333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Canada,10313.96,10693.2,2814.0,1005.0,2.8,10.64,7499.96,10.265
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Mexico,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Brazil,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Japan,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Korea,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,China,10686.27,11246.48,2959.6,1057.0,2.8,10.64,7726.67,10.11
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Singapore,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Australia,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Netherlands,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Sweden,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Finland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Denmark,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,France,19005.93,19652.08,5171.6,1847.0,2.8,10.64,13834.33,10.2925
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Germany,5036.16,5192.32,1366.4,488.0,2.8,10.64,3669.76,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Belgium,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Switzerland,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Austria,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Italy,,,,,,,,
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Spain,20593.99,21354.48,5619.6,2007.0,2.8,10.64,14974.39,10.265
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Canada,6759.6,6969.2,1834.0,655.0,2.8,10.64,4925.6,10.32
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Mexico,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Brazil,,,,,,,,
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Japan,0,1021.44,268.8,96.0,2.8,10.64,-268.8,0.0
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Korea,20684.98,21460.88,5647.6,2017.0,2.8,10.64,15037.38,10.265
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,China,48973.85,53870.32,14176.4,5063.0,2.8,10.64,34797.45,6.825
